"year","month","day","1","2","3","4","5"
2014,4,1,14.47,14.6,14.63,15.02,15.3
2014,4,2,13.19,13.29,13.31,13.59,13.75
2014,4,3,12.59,12.65,12.67,12.88,13.06
2014,4,4,12.86,12.92,12.94,13.18,13.4
2014,4,5,12.65,12.69,12.7,12.9,13.08
2014,4,6,11.62,11.62,11.62,11.68,11.65
2014,4,7,12.23,12.2,12.18,12.27,12.31
2014,4,8,14.4,14.46,14.45,14.67,14.77
2014,4,9,14.7,14.77,14.78,15.02,15.21
2014,4,10,13.93,14.07,14.07,14.4,14.43
2014,4,11,12.96,13.05,13.04,13.24,13.26
2014,4,12,14.84,14.95,14.95,15.24,15.43
2014,4,13,15.2,15.39,15.43,15.96,16.38
2014,4,14,15.92,16.11,16.14,16.7,17.14
2014,4,15,14.83,14.98,15.01,15.39,15.69
2014,4,16,13.36,13.47,13.47,13.73,13.79
2014,4,17,13.27,13.39,13.4,13.74,13.96
2014,4,18,12.45,12.54,12.55,12.84,13.05
2014,4,19,13.71,13.86,13.89,14.34,14.69
2014,4,20,13.88,14.05,14.09,14.59,15.03
2014,4,21,13.63,13.76,13.79,14.2,14.58
2014,4,22,13.89,14.03,14.07,14.52,14.97
2014,4,23,12.99,13.1,13.15,13.5,13.86
2014,4,24,11.89,11.98,12.03,12.31,12.63
2014,4,25,11.66,11.68,11.7,11.83,11.99
2014,4,26,12.16,12.13,12.1,12.09,11.88
2014,4,27,12.36,12.36,12.35,12.49,12.56
2014,4,28,10.83,10.83,10.85,11.01,11.23
2014,4,29,11.02,11.04,11.06,11.25,11.46
2014,4,30,11.11,11.17,11.19,11.41,11.6
